,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
62,2001,India,4.82,447.01,3.02,3.68,3.78,4.5,62.99,1071477855.0,0.499,Developing
67,2001,Sweden,1.56,26969.24,1.29,2.41,4.73,8.86,79.8,8895960.0,0.88,Developed
64,2001,United States,0.98,37273.62,-0.02,2.83,4.7,13.73,76.84,284968955.0,0.887,Developed
61,2001,Australia,1.93,19517.84,0.56,4.38,6.74,8.18,79.63,19413000.0,0.902,Developed
62,2001,Germany,1.7,23687.32,1.52,1.98,7.77,10.15,78.33,82349925.0,0.867,Developed
61,2001,Turkey,-5.96,3119.64,-7.36,54.4,8.38,5.16,70.56,64191474.0,0.658,Developing
69,2001,Thailand,3.44,1893.15,2.49,1.63,2.6,3.32,70.84,63543322.0,0.657,Developing
63,2001,Iran,2.39,1890.99,0.92,11.27,12.31,5.02,70.52,67096414.0,0.674,Developing
69,2001,Austria,1.35,24489.74,0.96,2.66,4.01,10.12,78.58,8042293.0,0.847,Developed
60,2001,Norway,2.09,38549.59,1.57,3.02,3.74,8.65,78.79,4513751.0,0.916,Developed
66,2001,Italy,1.77,20400.81,1.72,2.79,9.6,8.11,80.13,56974100.0,0.836,Developed
75,2002,France,1.12,24275.24,0.39,1.92,9.17,10.22,79.26,61805267.0,0.852,Developed
76,2002,Mexico,0.13,7106.08,-1.1,5.03,2.86,5.52,74.74,104355608.0,0.708,Developing
75,2002,South Africa,3.67,2518.4,2.44,9.16,26.6,8.09,54.31,45855482.88,0.613,Developing
71,2002,Turkey,6.43,3660.01,4.88,44.96,10.36,5.36,71.08,65143054.0,0.668,Developing
79,2002,Thailand,6.15,2096.05,5.27,0.7,1.76,3.7,71.11,64073164.0,0.666,Developing
74,2002,United States,1.79,38166.04,0.85,1.59,5.8,14.55,76.94,287625193.0,0.889,Developed
76,2002,Italy,0.25,22196.51,0.1,2.46,9.21,8.23,80.23,57059007.0,0.841,Developed
72,2002,Germany,0.0,25205.16,-0.17,1.42,8.48,10.4,78.23,82488495.0,0.872,Developed
79,2002,Austria,1.66,26351.38,1.16,1.8,4.85,10.27,78.68,8081957.0,0.837,Developed
78,2002,Canada,3.01,24167.8,2.09,2.26,7.7,9.37,79.59,31362000.0,0.877,Developed
71,2002,Australia,3.85,20081.82,2.59,3.0,6.37,8.39,79.94,19651400.0,0.905,Developed
70,2002,Norway,1.44,43061.15,0.89,1.29,4.02,9.62,78.99,4538159.0,0.918,Developed
74,2002,Brazil,3.05,2819.65,1.68,8.45,13.04,7.13,70.85,180151021.0,0.699,Developing
73,2002,Iran,8.08,1892.04,6.67,14.34,12.8,5.39,70.9,67983330.0,0.679,Developing
77,2002,China,9.13,1148.51,8.4,-0.77,4.41,4.79,72.87,1280400000.0,0.61,Developing
70,2002,Egypt,2.37,1210.23,0.45,2.74,10.01,5.97,68.95,72590118.0,0.621,Developing
78,2002,Morocco,3.12,1413.76,1.89,2.8,11.59,5.31,69.67,29512368.0,0.551,Developing
73,2002,Switzerland,0.14,41336.72,-0.61,0.64,2.92,10.61,80.39,7284753.0,0.889,Developed
77,2002,Sweden,2.07,29571.7,1.74,2.16,4.97,9.23,79.85,8924958.0,0.882,Developed
72,2002,India,3.8,466.2,2.06,4.39,4.32,4.4,63.37,1089807112.0,0.505,Developing
81,2003,Australia,3.07,23465.39,1.8,2.77,5.93,8.32,80.24,19895400.0,0.908,Developed
87,2003,China,10.04,1288.64,9.35,1.16,4.3,4.82,73.29,1288400000.0,0.622,Developing
85,2003,South Africa,2.95,3775.61,1.7,5.86,27.14,8.26,53.49,46418193.9,0.611,Developing
80,2003,Norway,0.92,50111.65,0.33,2.48,4.22,9.85,79.39,4564855.0,0.924,Developed
80,2003,Egypt,3.19,1120.87,1.25,4.51,11.0,5.41,69.1,73981942.0,0.623,Developing
82,2003,Germany,-0.71,30359.95,-0.76,1.03,9.78,10.62,78.38,82534176.0,0.877,Developed
86,2003,Mexico,1.42,6752.0,0.19,4.55,2.96,6.02,74.94,105640453.0,0.714,Developing
83,2003,Switzerland,0.05,47960.56,-0.69,0.64,4.12,10.93,80.54,7339001.0,0.895,Developed
81,2003,Turkey,5.61,4718.5,4.1,25.3,10.54,5.34,71.57,66085803.0,0.675,Developing
84,2003,United States,2.81,39677.2,1.93,2.27,6.0,15.06,77.04,290107933.0,0.892,Developed
89,2003,Austria,0.76,32102.93,0.27,1.36,4.78,10.48,78.63,8121423.0,0.841,Developed
89,2003,Thailand,7.19,2358.93,6.39,1.8,1.54,3.58,71.41,64554952.0,0.674,Developing
88,2003,Morocco,5.96,1721.97,4.7,1.17,11.92,5.25,70.23,29843937.0,0.561,Developing
85,2003,France,0.82,29691.18,0.11,2.11,8.79,10.43,79.11,62244884.0,0.857,Developed
82,2003,India,7.86,541.14,6.09,3.81,3.93,4.3,63.76,1108027848.0,0.518,Developing
88,2003,Canada,1.8,28172.15,0.79,2.76,7.6,9.54,79.84,31676000.0,0.881,Developed
87,2003,Sweden,2.39,36961.43,2.01,1.93,5.55,9.31,80.1,8958229.0,0.888,Developed
