,tweet_id,tweet_date,tweet_url,retweet_count,favorite_count,name,dog_stage,dog_gender,rating_numerator,rating_denominator,jpg_url,prediction,confidence
0,892420643555336193,2017-08-01 16:23:56,https://twitter.com/dog_rates/status/892420643555336193/photo/1,8696,39108,Phineas,NaN,M,13.0,10.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,NaN,0.0
1,685973236358713344,2016-01-09 23:55:38,https://twitter.com/dog_rates/status/685973236358713344/photo/1,601,2285,Lorelei,NaN,F,11.0,10.0,https://pbs.twimg.com/media/CYURBGoWYAAKey3.jpg,Siberian Husky,0.450678
2,686003207160610816,2016-01-10 01:54:44,https://twitter.com/dog_rates/status/686003207160610816/photo/1,718,1971,Hammond,NaN,M,3.0,10.0,https://pbs.twimg.com/media/CYUsRsbWAAAUt4Y.jpg,NaN,0.0
3,686034024800862208,2016-01-10 03:57:12,https://twitter.com/dog_rates/status/686034024800862208/photo/1,1309,3368,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CYVIToGWQAAEZ_y.jpg,Great Dane,0.23692
4,686050296934563840,2016-01-10 05:01:51,https://twitter.com/dog_rates/status/686050296934563840/photo/1,828,2383,Flávio,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYVXBb9WsAAwL3p.jpg,Pomeranian,0.985789
5,686358356425093120,2016-01-11 01:25:58,https://twitter.com/dog_rates/status/686358356425093120/photo/1,759,2373,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CYZvRttWYAE_RXc.jpg,Pug,0.985237
6,686386521809772549,2016-01-11 03:17:53,https://twitter.com/dog_rates/status/686386521809772549/photo/1,986,3505,Crimson,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYaI5aaW8AE8Uyk.jpg,Yorkshire Terrier,0.477704
7,686606069955735556,2016-01-11 17:50:18,https://twitter.com/dog_rates/status/686606069955735556/photo/1,601,2035,Horace,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CYdQktMWsAEI29_.jpg,Labrador Retriever,0.320012
8,686730991906516992,2016-01-12 02:06:41,https://twitter.com/dog_rates/status/686730991906516992/photo/1,1330,4491,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CYfCMdFWAAA44YA.jpg,Tibetan Mastiff,0.338812
9,686749460672679938,2016-01-12 03:20:05,https://twitter.com/dog_rates/status/686749460672679938/photo/1,1638,3761,,NaN,NaN,8.0,10.0,https://pbs.twimg.com/media/CYfS75fWAAAllde.jpg,NaN,0.0
10,686947101016735744,2016-01-12 16:25:26,https://twitter.com/dog_rates/status/686947101016735744/photo/1,3529,9294,Jackson,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYiGvn-UwAEe4wL.jpg,NaN,0.0
11,685906723014619143,2016-01-09 19:31:20,"https://twitter.com/dog_rates/status/685906723014619143/photo/1,https://twitter.com/dog_rates/status/685906723014619143/photo/1",3247,8145,Olive,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CYTUhn7WkAEXocW.jpg,Yorkshire Terrier,0.414963
12,687102708889812993,2016-01-13 02:43:46,https://twitter.com/dog_rates/status/687102708889812993/photo/1,1102,2525,,NaN,NaN,5.0,10.0,https://pbs.twimg.com/media/CYkURJjW8AEamoI.jpg,NaN,0.0
13,687124485711986689,2016-01-13 04:10:18,https://twitter.com/dog_rates/status/687124485711986689/photo/1,563,2337,Samson,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYkoE10WEAAWqxm.jpg,Beagle,0.000216206
14,687127927494963200,2016-01-13 04:23:58,https://twitter.com/dog_rates/status/687127927494963200/photo/1,2545,5913,Gordon,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CYkrNIVWcAMswmP.jpg,Pug,0.178205
15,687317306314240000,2016-01-13 16:56:30,"https://twitter.com/dog_rates/status/687317306314240000/photo/1,https://twitter.com/dog_rates/status/687317306314240000/photo/1",10210,21753,Tyrone,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYnXcLEUkAAIQOM.jpg,Shih-Tzu,0.747208
16,687460506001633280,2016-01-14 02:25:31,https://twitter.com/dog_rates/status/687460506001633280/photo/1,604,2204,Kramer,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CYpZrtDWwAE8Kpw.jpg,Boston Bull,0.223366
17,687480748861947905,2016-01-14 03:45:57,https://twitter.com/dog_rates/status/687480748861947905/photo/1,279,1727,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CYpsFmIWAAAYh9C.jpg,English Springer,0.472273
18,687494652870668288,2016-01-14 04:41:12,https://twitter.com/dog_rates/status/687494652870668288/photo/1,642,2069,Marq,NaN,M,7.0,10.0,https://pbs.twimg.com/media/CYp4vFrVAAEs9AX.jpg,Rottweiler,0.391471
19,687664829264453632,2016-01-14 15:57:26,https://twitter.com/dog_rates/status/687664829264453632/photo/1,570,2095,Opal,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYsTg1XUsAEPjxE.jpg,Pug,0.957365
20,687807801670897665,2016-01-15 01:25:33,https://twitter.com/dog_rates/status/687807801670897665/photo/1,781,2588,Trooper,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CYuVi9pWwAAbOGC.jpg,Staffordshire Bullterrier,0.151113
