,tweet_id,retweet_count,favorite_count,created_at
111,870726314365509632,3,120,Fri Jun 02 19:38:25 +0000 2017
112,870656317836468226,2754,12652,Fri Jun 02 15:00:16 +0000 2017
113,870374049280663552,27158,83980,Thu Jun 01 20:18:38 +0000 2017
114,870308999962521604,4299,22181,Thu Jun 01 16:00:09 +0000 2017
115,870063196459192321,8649,37301,Wed May 31 23:43:25 +0000 2017
116,869772420881756160,10440,43160,Wed May 31 04:27:59 +0000 2017
117,869702957897576449,6571,28753,Tue May 30 23:51:58 +0000 2017
118,869596645499047938,3256,16270,Tue May 30 16:49:31 +0000 2017
119,869227993411051520,3941,20846,Mon May 29 16:24:37 +0000 2017
120,868880397819494401,15069,66893,Sun May 28 17:23:24 +0000 2017
121,868639477480148993,2186,0,Sun May 28 01:26:04 +0000 2017
122,868622495443632128,6161,27928,Sun May 28 00:18:35 +0000 2017
123,868552278524837888,2186,10390,Sat May 27 19:39:34 +0000 2017
124,867900495410671616,4357,24678,Fri May 26 00:29:37 +0000 2017
125,867774946302451713,7641,34718,Thu May 25 16:10:44 +0000 2017
126,867421006826221569,2634,16529,Wed May 24 16:44:18 +0000 2017
127,867072653475098625,132,0,Tue May 23 17:40:04 +0000 2017
128,867051520902168576,8251,32989,Tue May 23 16:16:06 +0000 2017
129,866720684873056260,5060,20608,Mon May 22 18:21:28 +0000 2017
130,866686824827068416,3651,19822,Mon May 22 16:06:55 +0000 2017
131,866450705531457537,36865,124782,Mon May 22 00:28:40 +0000 2017
132,866334964761202691,15192,53956,Sun May 21 16:48:45 +0000 2017
133,866094527597207552,8767,0,Sun May 21 00:53:21 +0000 2017
134,865718153858494464,5878,26279,Fri May 19 23:57:46 +0000 2017
135,865359393868664832,5256,27175,Fri May 19 00:12:11 +0000 2017
136,865006731092295680,8069,28735,Thu May 18 00:50:50 +0000 2017
137,864873206498414592,9196,33232,Wed May 17 16:00:15 +0000 2017
138,864279568663928832,3214,15008,Tue May 16 00:41:21 +0000 2017
139,864197398364647424,9428,31026,Mon May 15 19:14:50 +0000 2017
140,863907417377173506,4357,21208,Mon May 15 00:02:33 +0000 2017
141,863553081350529029,4390,15730,Sun May 14 00:34:33 +0000 2017
142,863471782782697472,2619,0,Sat May 13 19:11:30 +0000 2017
143,863432100342583297,5561,24489,Sat May 13 16:33:49 +0000 2017
144,863427515083354112,103,2327,Sat May 13 16:15:35 +0000 2017
145,863079547188785154,1163,9006,Fri May 12 17:12:53 +0000 2017
146,863062471531167744,2619,8817,Fri May 12 16:05:02 +0000 2017
147,862831371563274240,5351,19761,Fri May 12 00:46:44 +0000 2017
148,862722525377298433,3735,17578,Thu May 11 17:34:13 +0000 2017
149,862457590147678208,5256,21198,Thu May 11 00:01:27 +0000 2017
150,862096992088072192,24642,77043,Wed May 10 00:08:34 +0000 2017
151,861383897657036800,11317,37253,Mon May 08 00:54:59 +0000 2017
152,861288531465048066,4413,17762,Sun May 07 18:36:02 +0000 2017
153,861005113778896900,4033,17286,Sat May 06 23:49:50 +0000 2017
154,860981674716409858,2285,0,Sat May 06 22:16:42 +0000 2017
155,860924035999428608,868,0,Sat May 06 18:27:40 +0000 2017
156,860563773140209665,2285,7764,Fri May 05 18:36:06 +0000 2017
157,860524505164394496,5586,24398,Fri May 05 16:00:04 +0000 2017
158,860276583193509888,3682,18919,Thu May 04 23:34:55 +0000 2017
